0,0
4,3
9,0
13,3
18,3
23,0
27,3
32,3
37,0
41,3
46,3
51,3
56,0
60,3
65,3
70,3
75,0
79,3
84,3
89,3
94,0
98,3
103,3
108,3
113,0
117,1
125,0
129,3
134,3
139,0
143,0
147,3
152,3
157,3
162,0
167,3
172,3
177,0
181,0
185,2
187,0
191,3
196,3
201,3
206,3
211,3
216,3
221,3
226,3
231,3
236,1
244,0
248,3
253,3
258,3
263,3
268,3
273,0
277,0
281,3
286,0
290,3
295,3
300,3
305,3
310,3
315,0
319,3
324,3
329,0
333,3
338,3
343,3
348,3
353,0
357,3
362,0
366,0
370,0
374,0
378,3
383,3
388,3
393,3
398,3
403,3
408,3
413,3
418,3
423,3
428,0
432,0
436,0
440,3
445,0
449,3
454,3
459,3
464,3
469,3
474,3
479,3
484,3
489,3
494,3
