0,1
8,1
16,0
20,0
24,0
28,1
36,0
41,3
46,0
50,0
54,3
59,3
64,0
68,3
73,0
77,1
85,0
89,0
93,0
99,3
104,3
109,0
114,0
118,0
122,0
126,3
131,3
136,0
140,0
144,3
149,1
158,0
162,0
167,3
172,0
176,1
186,0
190,3
195,3
200,3
205,3
210,3
215,3
220,3
225,0
229,0
233,0
237,3
242,0
246,0
250,3
255,3
260,3
265,3
270,3
275,0
279,0
283,3
288,3
293,1
301,1
309,3
314,0
318,3
323,3
328,1
336,3
341,0
345,0
349,3
354,1
362,0
366,0
370,0
374,0
378,3
383,3
388,3
393,3
398,0
402,3
407,3
412,3
417,3
422,3
427,0
431,0
435,0
439,3
444,0
448,3
453,0
457,3
462,3
467,3
472,0
476,0
480,0
484,0
488,0
492,0
496,0
